school_id,school_name_minkou,address_minkou,gaccom_id,school_name_gaccom,address_gaccom,addr_score,name_score,match_score
27979,小野寺南小学校,栃木県 栃木市 下岡６４６－５ ここに地図が表示されます 地図を見る 地図を閉じる,96378,栃木市立小野寺小学校,栃木県栃木市岩舟町下岡６４６-５,0.824,0.857,0.834
27995,【閉校】田代小学校,栃木県 那須郡那須町 高久乙１９６－３ ここに地図が表示されます 地図を見る 地図を閉じる,81010,那須町立田代友愛小学校,栃木県那須郡那須町大字高久乙１９６番地３,0.833,0.4,0.703
31655,市ヶ尾小学校,神奈川県 横浜市青葉区 市ケ尾町１６３２－１ ここに地図が表示されます 地図を見る 地図を閉じる,7367,横浜市立市ケ尾小学校,神奈川県横浜市青葉区市ヶ尾町１６３２番地１,0.846,0.667,0.792
31390,菅田小学校,神奈川県 横浜市神奈川区 菅田町６７４ ここに地図が表示されます 地図を見る 地図を閉じる,101490,横浜市立菅田の丘小学校,神奈川県横浜市神奈川区菅田町1386番地の２,0.667,0.667,0.667
31999,石川小学校,神奈川県 藤沢市 石川４－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,7756,藤沢市立石川小学校,神奈川県藤沢市石川４丁目１９番地１,0.706,1.0,0.794
31441,笹山小学校,神奈川県 横浜市保土ケ谷区 上菅田町１４２２ ここに地図が表示されます 地図を見る 地図を閉じる,96391,横浜市立上菅田笹の丘小学校,神奈川県横浜市保土ケ谷区上菅田町134番地の１,0.786,0.25,0.625
31479,【閉校】釜利谷西小学校,神奈川県 横浜市金沢区 釜利谷西４－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,7307,横浜市立釜利谷南小学校,神奈川県横浜市金沢区釜利谷南４-１２-１,0.846,0.5,0.742
31472,大道小学校,神奈川県 横浜市金沢区 大道２－３－１ ここに地図が表示されます 地図を見る 地図を閉じる,7293,横浜市立大道小学校,神奈川県横浜市金沢区大道２丁目３番１号,0.762,1.0,0.833
31367,獅子ヶ谷小学校,神奈川県 横浜市鶴見区 獅子ヶ谷１－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,7148,横浜市立獅子ケ谷小学校,神奈川県横浜市鶴見区獅子ヶ谷１丁目１９番地１号,0.815,0.75,0.795
31371,寺尾小学校,神奈川県 横浜市鶴見区 東寺尾５－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,7144,横浜市立寺尾小学校,神奈川県横浜市鶴見区東寺尾五丁目１９番１号,0.72,1.0,0.804
